date,weekday,l_count,l_food,l_drink,l_total,l_avg,d_count,d_food,d_drink,d_total,d_avg,l_room_fee,l_flower,d_room_fee,d_flower,event_count,event_food,event_drink,event_room_fee,event_flower,event_total,grand_total
2023-07-18,火,5,14,4457,807,81070,2,5,8700,3120,65010,0,0,0,0,0,0,0,0,0,0,0
2023-07-19,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-20,木,4,8,5750,1487,63690,2,6,8916,1025,65615,0,0,0,0,0,0,0,0,0,0,0
2023-07-21,金,9,20,4820,807,123805,3,17,8970,2108,207180,0,0,0,0,0,0,0,0,0,0,0
2023-07-22,土,5,12,4200,658,64130,7,20,9225,2562,259315,0,0,0,0,0,0,0,0,0,0,0
2023-07-23,日,5,18,4533,758,104775,5,23,8847,1852,270710,0,0,0,0,0,0,0,0,0,0,0
2023-07-24,月,14,20,3980,672,102355,2,4,6000,1150,31460,0,0,0,0,0,0,0,0,0,0,0
2023-07-25,火,3,24,3729,547,112915,4,8,7950,2467,91675,0,3740,1760,3740,0,0,0,0,0,0,0
2023-07-26,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-27,木,4,26,3707,701,126115,1,5,10000,3100,72050,0,0,0,0,0,0,0,0,0,0,0
2023-07-28,金,2,4,4550,1712,27555,3,8,8812,1861,93930,0,0,0,0,0,0,0,0,0,0,0
2023-07-29,土,10,29,4472,1112,178145,6,28,9842,2751,387910,0,0,0,0,0,0,0,0,0,0,0
2023-07-30,日,6,31,5210,1484,228315,2,9,11222,5971,170215,0,0,0,0,0,0,0,0,0,0,0
2023-07-31,月,2,4,3950,612,20075,1,4,12000,4787,73865,0,0,0,0,0,0,0,0,0,0,0
2023-08-01,火,5,9,4433,1533,59070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-02,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-03,木,2,5,3500,640,22770,1,6,12000,3200,100320,0,0,0,0,0,0,0,0,0,0,0
2023-08-04,金,2,30,3869,664,149600,8,26,9142,2913,344795,0,5280,1760,5280,0,0,0,0,0,0,0
2023-08-05,土,4,8,4025,306,38115,7,26,10521,2373,368795,0,0,0,0,0,0,0,0,0,0,0
2023-08-06,日,6,20,4010,640,102300,4,10,12900,2560,170060,0,0,0,0,0,0,0,0,0,0,0
2023-08-07,月,5,14,3842,917,73315,4,9,12111,3666,156200,0,0,0,0,0,0,0,0,0,0,0
2023-08-08,火,5,14,3842,800,71500,1,3,12000,616,41635,0,0,0,0,0,0,0,0,0,0,0
2023-08-09,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-10,木,4,17,4470,600,94820,5,24,7570,1968,251845,0,0,0,0,0,0,0,0,0,0,0
2023-08-11,金,9,23,4047,991,127490,8,26,8624,3634,350610,0,0,0,0,0,0,0,0,0,0,0
2023-08-12,土,9,25,4684,1154,160545,5,19,10736,3086,288915,0,0,0,0,0,0,0,0,0,0,0
2023-08-13,日,8,29,4472,1151,179410,3,7,9428,1648,85295,0,0,0,0,0,0,0,0,0,0,0
2023-08-14,月,11,36,4019,1119,203500,6,21,11485,3199,339230,0,0,0,0,0,0,0,0,0,0,0
2023-08-15,火,9,28,3757,919,144045,2,8,9212,2867,106300,0,0,0,0,0,0,0,0,0,0,0
2023-08-16,水,4,8,3650,943,40425,2,8,10937,3400,126170,0,0,0,0,0,0,0,0,0,0,0
2023-08-17,木,0,0,0,0,0,1,2,8500,2395,23970,0,0,0,0,0,0,0,0,0,0,0
2023-08-18,金,4,8,3725,1150,42900,6,15,8315,2716,182020,0,0,0,0,0,0,0,0,0,0,0
2023-08-19,土,7,26,5284,1369,190300,3,9,8611,6560,150195,0,0,0,0,0,0,0,0,0,0,0
2023-08-20,日,6,23,4600,778,136070,4,31,7387,1114,289895,0,0,0,0,0,0,0,0,0,0,0
2023-08-21,月,1,3,3500,583,13475,2,24,8875,2670,304800,0,0,0,0,0,0,0,0,0,0,0
2023-08-22,火,1,2,6500,600,15620,2,9,8888,772,95645,0,0,0,0,0,0,0,0,0,0,0
2023-08-23,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-24,木,6,12,4700,1158,77330,2,13,9000,3130,173460,0,0,0,0,0,0,0,0,0,0,0
2023-08-25,金,6,21,3628,678,99495,5,16,12204,2773,263610,0,0,0,0,0,0,0,0,0,0,0
2023-08-26,土,6,22,4113,1809,143330,7,22,10977,3638,353695,0,0,0,0,0,0,0,0,0,0,0
2023-08-27,日,6,21,4614,795,124960,1,3,15000,6000,69300,0,0,0,0,0,0,0,0,0,0,0
2023-08-28,月,6,14,4657,621,81290,4,14,10178,2125,189475,0,0,0,0,0,0,0,0,0,0,0
2023-08-29,火,6,23,3398,868,107945,1,2,12000,6500,40700,0,0,0,0,0,0,0,0,0,0,0
2023-08-30,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-31,木,6,15,3900,393,70840,5,15,10966,3878,244950,0,0,0,0,0,0,0,0,0,0,0
2023-09-01,金,3,6,4900,833,37840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-02,土,4,20,3800,850,102300,6,21,9047,2080,257070,0,0,0,0,0,0,0,0,0,0,0
