store,date,l_count,l_sales,l_avg,d_count,d_sales,d_avg,to_count,to_sales,bq_count,bq_sales,bg_count,bg_sales,at_count,at_sales,ryb_count,ryb_sales,event_count,event_sales,total_count,total_sales
BQ,2025-08-29,6,42020,7003,7,184690,26384,0,0,0,0,0,0,0,0,124,147780,0,0,137,374490
BQ,2025-08-30,0,0,0,13,245270,18867,0,0,0,0,0,0,4,17600,109,159380,0,0,126,422250
BQ,2025-08-31,14,148940,10639,9,174760,19418,0,0,0,0,0,0,2,9680,117,147930,0,0,142,481310
BQ,2025-09-01,1,5060,5060,2,42050,21025,0,0,0,0,0,0,0,0,36,46280,0,0,39,93390
BQ,2025-09-02,12,71280,5940,0,0,0,0,0,0,0,0,0,0,0,41,54860,0,0,53,126140
BQ,2025-09-03,4,52030,13008,3,60390,20130,0,0,0,0,0,0,0,0,52,69150,0,0,59,181570
BQ,2025-09-04,7,50490,7213,3,63000,21000,0,0,0,0,0,0,0,0,71,93480,0,0,81,206970
BQ,2025-09-05,0,0,0,2,42900,21450,0,0,0,0,0,0,2,8800,121,135060,0,0,125,186760
BQ,2025-09-06,6,56320,9387,9,336710,37412,0,0,0,0,0,0,2,8800,91,103860,0,0,108,505690
BQ,2025-09-07,11,94710,8610,2,23760,11880,0,0,0,0,0,0,4,24200,76,106180,0,0,93,248850
BQ,2025-09-08,2,31570,15785,0,0,0,0,0,0,0,0,0,0,0,68,94930,0,0,70,126500
BQ,2025-09-09,6,34430,5738,2,61820,30910,0,0,0,0,0,0,0,0,51,72400,0,0,59,168650
BQ,2025-09-10,5,44880,8976,4,99000,24750,0,0,0,0,0,0,0,0,82,106910,0,0,91,250790
BQ,2025-09-11,11,81330,7394,5,95590,19118,0,0,0,0,0,0,5,22000,60,83200,0,0,81,282120
BQ,2025-09-12,2,10780,5390,17,357540,21032,0,0,0,0,0,0,0,0,88,85760,0,0,107,454080
BQ,2025-09-13,5,35530,7106,4,443850,110962,0,0,0,0,0,0,0,0,78,113060,0,0,87,592440
BQ,2025-09-14,19,172150,9061,11,174820,15893,0,0,0,0,0,0,2,8800,88,110030,0,0,120,465800
